ID,difficulty_score,text_length,word_count,vocabulary_diversity,rare_word_ratio,named_entity_score,number_complexity,special_char_complexity,historical_spelling,text_length_complexity,punctuation_complexity
tbsyltEIBRUmYw1C,55.96071428571428,42,8,100.0,0.0,100.0,100.0,0.0,62.5,21.0,35.714285714285715
N78M3v6GKmUzF7sk,52.25,50,8,100.0,0.0,100.0,100.0,0.0,0.0,25.0,20.0
RK0I7kFhJjASu94X,51.85277777777778,63,10,100.0,0.0,100.0,50.0,50.0,0.0,31.5,55.55555555555555
UL4uKVDSEkTSgyJH,51.55151515151515,66,11,100.0,0.0,100.0,96.81818181818181,0.0,0.0,33.0,7.575757575757576
X45z2YGR6He46kFL,51.17413793103449,58,12,100.0,0.0,100.0,86.66666666666667,0.0,0.0,29.0,34.48275862068965
gbIcQ6ecZn0bkl4g,51.1,44,8,100.0,0.0,100.0,100.0,0.0,0.0,22.0,0.0
3d7lglLZeIkmAm2E,50.73882978723404,47,8,100.0,0.0,100.0,90.0,0.0,0.0,23.5,21.27659574468085
4JEeD7eou8R4Mnw5,50.60357142857142,47,7,100.0,0.0,71.42857142857143,62.857142857142854,71.42857142857143,71.42857142857143,23.5,0.0
igHczTSQYaTpWApk,48.83115942028986,46,6,100.0,0.0,100.0,0.0,83.33333333333333,0.0,23.0,86.95652173913044
NB4HmJSixjx3sncN,48.486363636363635,44,10,100.0,0.0,100.0,75.0,0.0,0.0,22.0,22.727272727272727
YmlajOc1YpkzuaKE,48.025,71,10,100.0,0.0,100.0,75.0,0.0,0.0,35.5,0.0
0pTrAB9K1tq6FYnS,48.01519607843137,51,10,100.0,0.0,100.0,75.0,0.0,0.0,25.5,9.803921568627452
YdT9WKs00ed4fblO,47.98520408163265,49,10,100.0,0.0,100.0,75.0,0.0,0.0,24.5,10.204081632653061
TPdI4dn8HUGKOWUV,47.348484848484844,60,11,100.0,0.0,100.0,69.54545454545455,0.0,0.0,30.0,8.333333333333334
B6XjP7K6kueJI8Uh,47.3125,80,16,93.75,0.0,100.0,72.91666666666667,0.0,0.0,40.0,6.25
PuDCCRnGEY59YVkQ,46.9,106,20,100.0,0.0,100.0,45.0,25.0,0.0,53.0,0.0
RkBY1IMdbNG2B9Rd,46.425,57,10,100.0,0.0,100.0,50.0,0.0,50.0,28.5,0.0
AEIelHGQpCNOoMPI,46.375,55,10,100.0,0.0,100.0,0.0,50.0,100.0,27.5,0.0
QOpmX7bZjB92Ow7V,45.925,62,12,100.0,0.0,100.0,62.5,0.0,0.0,31.0,0.0
WwlTCykxjP3c4kfo,45.91600899100899,77,13,100.0,0.0,100.0,0.0,76.92307692307693,0.0,38.5,25.974025974025977
xdQAW32IaMImGVne,45.601960784313725,68,12,91.66666666666666,0.0,100.0,35.0,41.666666666666664,0.0,34.0,14.705882352941176
5z0BGufzQgliEu7p,45.50357142857143,88,14,100.0,0.0,100.0,55.357142857142854,0.0,0.0,44.0,0.0
9kN8xcJzIF4Zrsfi,45.394230769230774,65,13,100.0,0.0,100.0,43.07692307692308,0.0,38.46153846153847,32.5,7.6923076923076925
czgP2A9uaOq9S3Fl,45.39090909090909,52,11,100.0,0.0,100.0,0.0,90.9090909090909,0.0,26.0,0.0
yTWmHPezrpjRejSz,45.30160455486543,69,14,92.85714285714286,0.0,71.42857142857143,100.0,0.0,0.0,34.5,7.246376811594203
kcOVsxdSTK9JaBV1,45.085064935064935,56,11,100.0,0.0,90.9090909090909,67.04545454545455,0.0,0.0,28.0,8.928571428571429
qM5q4bWpR7YWPR6N,45.025,81,15,86.66666666666667,0.0,100.0,0.0,100.0,0.0,40.5,0.0
99oICXJ4dVXY58Tu,44.888636363636365,51,11,100.0,0.0,90.9090909090909,69.54545454545455,0.0,0.0,25.5,0.0
6x6uZheB1nZMPCfs,44.792857142857144,56,10,100.0,0.0,100.0,50.0,0.0,0.0,28.0,17.857142857142858
Qors7XZio5ZJg1Bl,44.75,45,8,100.0,0.0,100.0,57.5,0.0,0.0,22.5,0.0
sggAEJI29exYLAOY,44.63333333333333,52,9,100.0,0.0,100.0,0.0,55.55555555555555,55.55555555555555,26.0,0.0
W8wdFrxaW9VMnV3p,44.53676122931442,94,18,88.88888888888889,0.0,83.33333333333333,0.0,100.0,27.777777777777775,47.0,15.957446808510637
nm6tJae12v3oCVpx,44.39310207336523,57,11,100.0,0.0,100.0,47.27272727272727,0.0,0.0,28.5,17.543859649122805
X3YabLNZL6GBB5R7,44.37896825396826,45,7,100.0,0.0,100.0,0.0,71.42857142857143,0.0,22.5,22.22222222222222
9JvRXcUlofW9i70R,44.31296296296296,54,10,100.0,0.0,100.0,50.0,0.0,0.0,27.0,9.25925925925926
mTTGusap5mALLMvi,44.29669811320755,53,10,100.0,0.0,100.0,50.0,0.0,0.0,26.5,9.433962264150942
ozyA3WwzaaR9Cy9T,44.225,49,9,100.0,0.0,100.0,53.33333333333333,0.0,0.0,24.5,0.0
baTY3OlGskirWgFc,44.22083333333334,48,8,100.0,0.0,62.5,100.0,0.0,0.0,24.0,10.416666666666666
gSXt2RMZhYKYcwIB,44.175,97,20,95.0,0.0,100.0,50.0,0.0,0.0,48.5,0.0
t0UrASljcgzvBAnO,44.125,120,20,85.0,0.0,100.0,35.0,25.0,0.0,60.0,12.5
xndf85l6oVLJXq0F,44.11969696969697,66,11,100.0,0.0,100.0,47.27272727272727,0.0,0.0,33.0,7.575757575757576
9VDKtidUEWjRRiRo,44.02857142857143,44,7,100.0,0.0,100.0,52.857142857142854,0.0,0.0,22.0,0.0
2znD0YmTvgWAc7O1,43.95,83,15,93.33333333333333,0.0,100.0,52.5,0.0,0.0,41.5,0.0
PGrsVzaCJNX1b1E1,43.925,57,10,100.0,0.0,100.0,50.0,0.0,0.0,28.5,0.0
MMstRgEevrOu3rqP,43.85915750915751,84,13,100.0,0.0,100.0,43.07692307692308,0.0,0.0,42.0,5.952380952380952
KNLjDvknC5gb4aUj,43.83191489361702,47,8,100.0,0.0,100.0,47.5,0.0,0.0,23.5,10.638297872340425
jIz3HVEOkYUP2Ojd,43.825,53,10,100.0,0.0,100.0,0.0,50.0,50.0,26.5,0.0
XN6E32VUdTiHnJuQ,43.6375,88,16,93.75,0.0,100.0,38.75,0.0,31.25,44.0,0.0
u2GmKpt49cHoxrO0,43.63125,64,12,100.0,0.0,100.0,0.0,41.666666666666664,41.666666666666664,32.0,15.625
4Qz2qjTvIwzi6yg2,43.525,71,12,100.0,0.0,100.0,45.0,0.0,0.0,35.5,0.0
QiKpnXS0gnizGKmE,43.51028693528694,63,13,92.3076923076923,0.0,100.0,0.0,38.46153846153847,76.92307692307693,31.5,7.936507936507936
Pz6xt3fTfT158osa,43.46480099502488,67,12,100.0,0.0,83.33333333333333,65.0,0.0,0.0,33.5,7.462686567164179
oPj6r0jedkYtMV0K,43.428457446808515,94,16,100.0,0.0,100.0,38.75,0.0,0.0,47.0,5.319148936170213
OrXXHFOprCeTsprv,43.39705882352941,100,17,100.0,0.0,100.0,37.64705882352941,0.0,0.0,50.0,5.0
asclvS0ZVIPNVGJe,43.315232974910394,62,9,100.0,0.0,100.0,0.0,55.55555555555555,0.0,31.0,24.193548387096772
Z51vTfGPlcpTCCHH,43.291666666666664,90,18,94.44444444444444,0.0,100.0,45.83333333333333,0.0,0.0,45.0,0.0
uqRuAzZCBzq6drFU,43.28214285714286,72,14,92.85714285714286,0.0,100.0,50.357142857142854,0.0,0.0,36.0,0.0
